destination,minTotalPayments,maxTotalPayments,,,,,,,
0xf300e342c7d275759c9049f4b178040dcfae1b70,10130.42422,20260.84844,,,,,Token Address,0x45080a6531d671ddff20db42f93792a489685e32,
0xa13bb257b3fc3f476ff2eaf28726363e2205a02e ,10293.20025,20586.4005,,,,,Min Vesting Length Seconds,7776000,
0xa951d6ef2f585457d07e0661cf88f6fc505b42cb,10293.20025,20586.4005,,,,,Min Vesting Length Days,90,
0xa32cc2f7bae31c79ab75d0bc39182fd113c53790,10536.94401,21073.88802,,,,,Max Vesting Length Seconds,31536000,
0x805ed1ad073ed9a6d9d9105d5f3bbf8eac8c2ab5,10555.32861,21110.65722,,,,,Max Vesting Length Days,365,
0x3ac9c5d5d98a725396ff757627736b0ef11c2b0d,11291.5528,22583.1056,,,,,Pct Up Front,10%,
0x911c88b144fbe4d6350dc0161d731243a2e7a258,11291.5528,22583.1056,,,,,Min / Max Total Payments,50%,
0x31bfe818bdf161e08870614852416d2e5c3011dc,11580.52411,23161.04822,,,,,Min / Max Vesting Length,24.66%,This needs to be significantly less than Min / Max Total Payments
0xeb65ec7260e5f81ee1a8f00a25f2c382d838e37b,11749.46039,23498.92077,,,,,coinsPerSecondAtMaxVesting,1,
0x5bee938736df6cb720d54db2dfb1e17786caa318,11944.85398,23889.70796,,,,,coinsPerSecondAtMinVesting,2.027777778,
0xe47b3d3e7c9e11f404a73da33f0b5c0cd1810e0a ,12208.29225,24416.5845,,,,,,,
0xbaccc96248d3302e4c8fbfadbba5142aedb42b79,12208.29225,24416.5845,,,,,,,
0x3f3f2b39a6210ad71cc99486ae060a780c3b9d4e,12208.29225,24416.5845,,,,,,,
0x63fc588966deacb2908b6a596a6386f3b1dad723,12269.94993,24539.89985,,,,,,,
0x06c650735ceed6e92c2f21981daa7ddb90a1d51d,12805.23278,25610.46556,,,,,,,
0x51bd9fd860223ef52cf77b517ebab5ca58dc1c63,13013.47027,26026.94053,,,,,,,
0xb56a127d28df5ecbe1fb1fabde88eb383a8dbc56,13052.56726,26105.13452,,,,,,,
0xeb595b45e4c9d398be3451da855ae209cf363d29,13232.1155,26464.23099,,,,,,,
0x33bd4aa1214c1c787cbdf7141feb1ae7d8734555,13248.17483,26496.34966,,,,,,,
0xf4ad11828f6bed182c273b6aebaef9a973ca621a,13264.05231,26528.10462,,,,,,,
0xbe87b1320297d3a238fef61003b827e1a4ac4509,13283.64963,26567.29925,,,,,,,
0xb3f31ad589ba65df22ed16341ea623b685dd78e5,13365.23183,26730.46366,,,,,,,
0xa472e4ca3a2c58903e7e17deb29bebbd508e20de,13624.71626,27249.43251,,,,,,,
0xe319d04fed54c473a956209cc90ecebf6df3fb47,13896.60801,27793.21601,,,,,,,
0xf59c213f54aaae2133061207fa975b4052ccfa1e,15456.41807,30912.83614,,,,,,,
0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,15456.41807,30912.83614,,,,,,,
0xe93f001cc9a2b773e5cb846ff72039e244047bb5,16572.71643,33145.43286,,,,,,,
0x305a45d8f6d22f14046305926aa84024fe22660c,16832.52549,33665.05097,,,,,,,
